well_number,latitude,longitude,zone
3-3,35.7137614,-98.2538189,PENNSYLVANIA
1-6,35.5422406,-98.089451,COTTAGE GROVE
1,34.1519088,-97.4141991,"HOXBAR, VIOLA "
2D,34.1354639,-97.3138626,BAYOU
24-1W,34.3803646,-97.5611107,DEESE
J-14,34.238675,-97.5294202,HEALDTON
1,34.418747,-97.5130296,HOXBAR
106,34.4187215,-97.510771,"DEESE, SPRINGER"
35,34.4277066,-97.5260227,"DEESE, SPRINGER"
104,34.418691,-97.5195187,"DEESE, SPRINGER"
48-1,34.4587617,-97.47357,"PENNINGTON, STRAY, TATAUMS"
1,34.4751289,-97.4424745,GOODWIN
3,34.4770293,-97.4425056,GOODWIN
2,34.475148,-97.4405138,GOODWIN
4-3,34.4731792,-97.4383495,GOODWIN
4-2,34.4810551,-97.456457,"HOGAN, TATUMS "
9,34.4446242,-97.4389093,HOXBAR
6,34.4368647,-97.4339993,HOXBAR
8,34.435072,-97.4339915,HOXBAR
12,34.4352085,-97.4336069,HOXBAR
15,34.4422948,-97.4427657,HOXBAR
2-3,34.4463337,-97.4559718,PENNSYLVANIA
2-4,34.4482261,-97.4556034,PENNSYLVANIA
20,34.4464894,-97.4539487,"HOXBAR, PENN, TATUMS"
4,34.4314787,-97.4362372,HOXBAR
10,34.4337267,-97.4334834,HOXBAR
23,34.4206307,-97.4516154,"HOXBAR, PENN, TATUMS"
9,34.4260456,-97.4493883,PENNSYLVANIA
7,34.4278479,-97.4515552,PENNSYLVANIA
19,68.8738292,-194.9075164,TATUM
7-2,34.4387419,-97.4515555,"HOXBAR, PENN, TATUMS"
6-8,34.4424085,-97.453736,"HOXBAR, PENN, TATUMS"
6-4,34.4424124,-97.4559313,"HOXBAR, PENN, TATUMS"
7-5,34.4423885,-97.4521458,"HOXBAR, PENN, TATUMS"
